,label_min,label_max,label_min_text,label_max_text,win_min,win_max,pair_True
75,53,6389,"  

Famous curse:  there is a story that when Joseph Kennedy just before WWII used his influence as the U.S. Ambassador to the UK to prevent Jews in German held territories being granted visas (and safety) to the US, the Rebbe cursed him and his entire family for his actions - many believe that the problems of the family (down to the drunk driving accident of Patrick Kennedy) all date to that curse - does anyone have a source for that and want to place that in the story? ","""
It was here, in the Roesgen Talkk page where you said: """"Enough with the teabaggers who pop up every few days, we should try to have the article semi-protected again. Remember folks, this is a BLP"""" As it was both in direct response to my edit - and I was the only person active there at all in the last three weeks or so, and it was in a section of talk that I had started and been the only one posted in - I took it as directed at me.
I was then told by the other owner, """"If you aren't one, then he wasn't talking to you.""""
This was my response:
'Bullshit. You don't attack the only person you're having a discussion with and ask for the article to be locked and then defend it by saying, 'well, if your not one - then he's not talking to you'.
 The accusation is the attack and nothing I've said or done here, nor in my recent edit history at the Republican congressman's article referenced above indicates any bias. I notice however that the home page of one of the two editors standing sentry over his pet article has dozens of claims of profound liberal bias proudly festooned across the page like a Volvo in Vermont on it's way to the Northeast Kingdom. One usually finds such committed and messianic people to be deeply wedded to their cause and saturated to the bone with inflexible bias - whether on the left, right or third way. False unsubstantiated accusations, blatant bias, article """"ownership"""" and the complete lack of any effort to defend the inclusion of drivel, garbage and fluff into the encyclopedia is ridiculous and nothing more has been done by the """"guards"""" than revert, attack and ignore''.99.141.246.39  """,1.0,2.0,0.3333333333333333
76,53,11967,"  

Famous curse:  there is a story that when Joseph Kennedy just before WWII used his influence as the U.S. Ambassador to the UK to prevent Jews in German held territories being granted visas (and safety) to the US, the Rebbe cursed him and his entire family for his actions - many believe that the problems of the family (down to the drunk driving accident of Patrick Kennedy) all date to that curse - does anyone have a source for that and want to place that in the story? ",This talk is useless. Title canot be changed. Why talk then? I wish you a white phosfor. -  ,1.0,2.0,0.3333333333333333
82,57,1147,"  

You know, if you changed your handle to Just Whisper Dung, then you can be anal retentive with all of your own pages. Hahahhahhahahahahahahahahahahahahahahahahahahahahaha. No thanks on the cookie. ~FU~ 68.35.28.79  "," Hi 

ru:%D0%A3%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%B8%D0%BA:Alex Smotrov
You want a fuck or dick? whats problem?",2.0,1.0,0.0
91,64,8096,"  
Dude, did you know, it literally, slows down CD burning if you don't have the pro version? It actually makes it slower! The bastards! Maybe that should be in the article.
 ",BASEBALLS BUGS IS AN UGLY IGNORANT FOOL,1.0,2.0,0.3333333333333333
94,66,4094,"  
o you dont understand that im not doing a damn thing wrong andjust doing this for no reason sl keep reposting it tyou apologize faying that shit ealier and stop getting rid of it","""

 I am not afraid of your threats (it's not an insult I talked nice to you). If you don't know about 94% of Albanians (who were in a poll) support terrorist so called """"KLA"""". 6% of the rest were killed by KLA because they cooperated with Serbs. And albanians can't be """"normal people"""" since they are not humans at all and absolutely not normal (what kind of human being could kill a innocent baby and burn it allive, or burn 300 churches for nothing)? Ok I understand that but why do you protect them? Anyway why don't we speak Serbian? In my life I never met an albanian (animal names are written with first letter little ) ) that didn't say I hope you 'll die at least 7 times when we met (I was talking nice to them untill they didn't insult without reason). I am very angry because of this and it's one more reason why I hate them. To me I don't consider a human anyone who supports Serbian Kosovo independence (it's like someone supports slaughtering milion of innocent children). Thank you very much for your support and if you were little more on the side of the truth I would award you, but sorry I can't do it right now. Good luck! Све најбоље!   """,2.0,1.0,0.3333333333333333
103,72,1716,"               
There's no evidence that a half sayin can't become a SSJ4 either. But i don't think it really matters since the makers of GT come up with dumber idea's than President Bush.
 "," Multi-revised comments that break chronological discussion threads 

ARE A WASTE OF TIME   ",0.0,3.0,0.3333333333333333
116,81,2388,         Yeah! You dummy!  Bakutrix," The problem was not your use of mixed spelling (which is trivial and easily fixed), it was your being a dick. You appear not to understand the problem. Hence, I guess, the sanction, in which decision I took no part whatsoever. Guy () ",2.0,1.0,0.3333333333333333
121,84,13060,"    *  IP address: 87.112.72.201
    * Blocking admin: Ck lostsword
    * Block reason: Attempting to fix non-NPOV article in the face of uneducated other users: a personal attack with only one warning a second before, only on Xenophobia
    * Block originally applied to: 87.112.72.201
    * Your account name (if you have one):
    * An explanation of why your block is unfair: 1. admins trolling and conducting and edit war on the basis of trying to enforce their non-NPOV views on an article incited my annoyance (nobody likes trolls) 2. inappropriate use of warnings by incompetent admin not seeing an asymmetric edit war taking place (a couple of warnings would have been apt; blocking is an overreaction, and slighty pointless when I have access to several hundred computers and a huge range of potential IP addresses to use - i.e.: it's spiteful.","Your Edit to Buttocks

Please refrain from writing nonsence on wikipedia.",0.0,3.0,0.0
127,89,3619,   I avoided EVERY SINGLE article that they edit after my block to avoid them. Dheyward Wikistalked  me then did it again on Mongos page about my request for a LBGT mentor.," vandal, very good, i'm surprised the 14 yr old can even spell",1.0,2.0,0.0
129,90,2904,"   In addition, I see no sock puppet, jackass. "," You greatly enjoy it when when a large, long stick of feces enters your mouth. 

NawlinWiki, that is disgusting.",1.0,2.0,0.0
137,97,9448,"  And a lot of Basques like me consider themselves Spaniards, in spite of the fact that we have to live with the harrassment of one of the most violent minorities in Europe, the extreme Basque nationalists.","I agree that we should be representing the sources, if the source says that a Palestinian medic said such and such we should say the same. But it goes both ways, just as we should not assume that everything a Palestinian source says about this is true, we should not assume as Israeli sources. If the IDF says that there were shot fired from a location, we should say that 'The IDF says . . .' or if the foreign ministry says such and such, we should say 'the Isreali MFA says.' As far as the Israeli officer goes, Ill keep the faith, and im proud of you that you didnt fire a shot too ). But while I don't assume that Israeli soldiers never target civilians with intent, I likewise dont assume that they never do. I have seen too many videos of Israeli soldiers behaving in a brutal matter to Palestinians who are already on their knees with their hands up to think that it never happens.  And likewise I dont think that a pilot fires on a building with civilians knowing it is full of them and only them, but I dont that their superiors would never order it without their knowledge.  Atrocities happen, oftentimes unintentionally, others with full intent, like My Lai Massacre, Sabra and Shatila massacre for which high ranking officers were held at least indirectly responsible, and many others. I think that majority of soldiers in any army want to server their country and their people, including those with groups such as Hamas and Hezbollah, but there are others, on all sides, who just want to shoot and kill people.   ",1.0,2.0,0.0
139,98,3073,"  And of course, the AP is never wrong.  Wikipedia is for hyper-bloggers with ADD to further promote ignorance in the world, because hey, what else are you going to do?    "," article 

This article is mostly unsourced, and most of the sources are not in the mainstream.  If there was a massive murder spree by blacks against whites, I think the mainstream press would have covered it somewhat.  I am removing much of the statements without mainstream citations.    ",2.0,1.0,0.3333333333333333
144,102,4221,"  Beware websites that HAVE NO AUTHOR NAME. Whereas I advocate using some websites, I do not
endorse using ALL websites. 99% of all Bigfoot websites are garbage. 97% have no author name, and no contact info. Good ones are  htpp://www.bigfootresearch.com and http://www.bigfoot.org most photos and PhDs. Another one is http://www.bigfootencounters.com  Bobby Short. If any of these are wrong addresses, try putting net or org in place of com. Martial Law is overly impressed by 
fancy graphics and expensive style. No name, no game.

jeff","""

 Nonsense 
The edit on Siberian shamanism was one of my many udoes to your contribs a few days ago before I was banned. That was one of my various diatribes done to give you a taste of your own medicine of subverting, deleting and merging the talks of other editors without any rhyme or reason. I was on the edge of legality because I had never heard of Siberian shamanism (what next ? Catholic fire rituals ? -))) but it would not have taken long for some googling to come up with some insipid reason to validate my edit.

The edit on Paganism is right. Paganism is a CLASS of religions just like helicopter is a CLASS of aircraft, or planet is class of heavenly bodies. Hence your comment that """"Pagans are fewer than Hindus"""" makes little sense, because Hinduism is technically a pagan religion (in fact all Dharmic religions are for that matter). """,1.0,2.0,0.0
149,106,8717,  Faggggggggggggit drew likes penis,FUCK QUEBECFAGGOTS. FUCKING SEPERATE SO WE CAN FUCKING INVADE YOU PROPERLY AND FUCKING FINISH THE JOB. 99.241.217.133  ,2.0,1.0,0.3333333333333333
158,113,7746,  Here's your fucking reference.  http://www.state.gov/g/drl/rls/102406.htm#_Toc174854655    ,"=Better take a break from wikipedia. And delete your sockpuppets.

And tell your admin friends to fuck off.
=",2.0,1.0,0.3333333333333333
164,116,157,"  I assume your response means you are not an admin.  As I have said to the other party involved, you are promoting a very unfriendly wikipedia.  Accidentally changing one number in a year, or one word (when an inexperienced user thinks they are in sandbox) is not vandalism.  As a representative of wikipedia, you should be nicer to users.  If you feel this is vandalism, you should report it to an admin, not act on it yourself.
  ",  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells  nikko smells    nikko smells  nikko smells  nik,1.0,2.0,0.3333333333333333
177,126,5413,"  Listen pal, I do things my way, and you think your so hotsie totsie, too bad yoou're not getting inside me.","""

Ok, I don't """"proudly"""" use a swear on my page, it's true I do know a shitload of info for my age (I'm not telling you). I was also annoyed how some users, like you for example, is so uptight about the rules, it's like """"Come'on give it a rest already. Finally, just because I use a swear does not make all aussie """"blokes"""" complete obnoxious people who swear every minute. And you've got the wrong idea of civility. That's all I have to say. """,1.0,2.0,0.0
189,135,9937,  Stop erasing my work you MF Douche bag!!!!!!!!!!!!!!!!!!!!!!,I'm not adding evering I can find about condoms that isn't nice. And as for Bibles and the environment can you flush a Bible down the toilet. I'd like to see someone try... ,0.0,3.0,0.3333333333333333
191,137,1572,  The memory of those great Romanian anti-communists will not be forgotten!," Lack of Reverence 

Your misuse of this website is horrible. Please contact me ASAP.",2.0,1.0,0.3333333333333333
192,138,9330,"  There seems to be nothing
to check the vileness of the corrupt admin.","Hm... No Alexandre87 on this site... And the only other similar accounts were completely dissimilar to you.  You really have failed to provide any evidence that it wasn't you (just claims that require evidence), and your return right after the IP was blocked really is a bit damning.  Plus, I've offered a way to prove it wasn't you: just go to WP:SPI, file a report on yourself, and ask for a checkuser.    ",1.0,2.0,0.3333333333333333
193,139,5288,  They are deletionists.  ,"""

It's okay by me if a levelheaded admin feels I should be temporarily blocked, I'll wait patiently. Nevertheless I still think that you guys should do something with people that don't cross the line of incivility clearly with obvious insults but keep being arrogant and misuse parts of Wikipedia. Also, admin   """,3.0,0.0,0.0
196,141,1414,  This laxity with sourcing is why Wikipedia is a joke on controversial subjects.," Images 

Insulting images need to stop, now. Don't call other editors baboons. You should certainly know better.   ",2.0,1.0,0.3333333333333333
202,145,6100,"  You are full of it, since I was never ever banned on no boxrec, if it was, somebody may be connected to be, but how can anybody edit boxrec, i tried, you need to be memebr of that page you fool.That was probably you now trying to screw others, but your time will come...","""
 i didn't sign anything or agree to anything which stated that I'm giving my contribution over to wikipedia.  if that was the case and ownership transfers as soon as you click save, then should I decide to blank you page and enter """"wanker lives here"""" (which I'll get around to doing later), that contribution is no longer owned by me.  It is owned by wikipedia, and so I should feel no reprecussions.  get it dumbass?

""",2.0,1.0,0.3333333333333333
216,155,5380,  i havet you all.  you never let me edit anything,"""

Not Retarded Userbox
Just letting you know that the userbox """"this user is not retarded, no matter what anyone says"""" has been deleted and you may want to remove the template.  (talk • contribs) """,2.0,1.0,0.3333333333333333
219,156,2026,"  is a scientifically proven epitome of an Arsehole (stretched and itching...) THAT's WHY he whines and bitches so pathetically on Wikipaedia 

Cheers!  "," RESPONSE TO:DISK ROTATIONS  

IM NOT SURE BUT IT IF CAME OUT SHOOTING AT YOU IT WOULD CUT YOUR HEAD OFF IF IT WAS POINTING AT YOUR HEAD YEA THATS HOW FAST IT IS",2.0,1.0,0.3333333333333333
