sentence,nes
The Baltimore Longitudinal Study of Aging BLSA is one of the world s best known oldest and longest longitudinal studies of aging in humans continuing since 1958 20 21,O B I I I I I O O O O O O O O O O O O O O O O O O O O O O
For instance with the data taken from National Education Longitudinal Study 88 94 Kim and Schneider 2005 further claimed that adolescents from low SES families benefited more from parental involvement in academic activities,O O O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O
2005 used HLM to analyze NEO PI R data collected between 1989 and 2004 in the Baltimore Longitudinal Study of Aging BLSA,O O O O O O O O O O O O O O O O B I I I I I
Figure 20 shows the after the fact best track minimum sea level pressure and estimated maximum sustained surface wind speed graphs for Hurricane Hugo along with the data from which they were derived,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
For this we used the Sea Lake and Overland Surges SLOSH model from NOAA s Hurricane Modelling System to provide storm surge ranges for the site s general vicinity,O O O O O O O O O O B I O O O O O O O O O O O O O O O O O
To simulate the surge resulting from our synthetic storms we apply the Sea Lake and Overland Surges from Hurricane SLOSH model Jelesnianski et al,O O O O O O O O O O O O O O O O O O O B I O O O
Previous studies have shown that storm surges simulated by the SLOSH model have errors ranging from 0 20 17 19 however the sensitivity of this error to various model components is not well understood,O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O
We used our algorithm to cluster populations of aging individuals from the Baltimore Longitudinal Study of Aging BLSA 49 which has been following a set of older adults with annual and semi annual imaging and clinical evaluations,O O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O O O
In the area of therapeutics the USA and USSR collaborative study group has shown the efficacy of methotrexate for polyarthritis 19,O O O O O O O O O O O O O O O O O O O O O
MS and PE assisted the sample and data collection,O O O O O O O O O
The National Oceanic and Atmospheric Administration NOAA Center for Operational Oceanographic Products and Services CO OPS is transitioning the primary water level sensor at the majority of tide stations in the National Water Level Observation Network NWLON from an acoustic ranging system to a microwave radar system,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I O O O O O O O O O O O
There may still be other factors that differentiate male and female faculty that are not controlled for within these measures of faculty characteristics but to identify these differences is not possible with the data,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In this study we measure the probability that a student will have a successful educational outcome controlling for both their individual characteristics and the characteristics of the institutions that they attend,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Aging Integrated Database AGID,B I I I
The BLSA study is approved by the local institutional review board and all participants gave written informed consent before each assessment,O O O O O O O O O O O O O O O O O O O O O
The SLOSH model was not included in the tidal validation component of the study due to the fact that tides are not directly simulated in the model,O B I O O O O O O O O O O O O O O O O O O O O O O O O
To this end we investigate the relationships between these measures age sex and muscle function in a cohort of normatively aging men and women from the Baltimore Longitudinal Study of Aging BLSA ranging from 24 to 98 years old,O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I O O O O O O O
The Baltimore Longitudinal Study of Aging BLSA is a prospective study of normative aging conducted by the National Institute on Aging Intramural Research Program since 1958,O B I I I I I O O O O O O O O O O O O O O O O O O O
Before D M calculation all biomarkers were log or square root transformed as necessary to approach normality using the same transformation for all data sets and were centered at the mean of the reference group and divided by the standard deviation of the reference group,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Using data from the Children of Immigrants Project St,O O O O O O O O O
Data is collected from the the Alzheimers Disease Neuroimaging Initiative ADNI material considered in this work included all subjects from ADNI1 for whom baseline MRI data T1 weighted MP RAGE sequence at 1,O O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O
Sandy s storm surge was also record breaking but to a lesser degree exceeding the previous maxima in the vetted NOAA data set by roughly 40 cm the Great Appalachian Storm of 1950 was the previous storm surge of record at 2,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The MRI and DTI data used in the preparation of this article were obtained from the Alzheimers Disease Neuroimaging Initiative ADNI database adni,O O O O O O O O O O O O O O O O B I I I O O O
We finally omit individuals who do not live in one of the cities for which we have detailed price data,O O O O O O O O O O O O O O O O O O O O
The strong inverse association between EPO levels and ESP pointed out in our study in T2DM could reflect the diminished RBC membrane cytoprotection by reducing the strength of total antioxidant potential at systemic level,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The ideal study of preclinical AD markers would follow cognitively normal individuals until they are diagnosed with dementia due to AD and retrospectively analyze the time courses of the markers of those who developed AD,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Splenial size in this study was not associated with cognitive performance,O O O O O O O O O O O
Several storms affected more than one study site and are thus represented more than once in the total set of 55 simulations,O O O O O O O O O O O O O O O O O O O O O O
Department of Education s Beginning Postsecondary Student Survey the National Science Foundation s Survey of Earned Doctorates and one strategy to increase access to data on LGBT students would be to include demographic questions that capture sexual orientation and provide a transgender option for gender identity,O O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
First in this study we include the characteristics of the agents that might have an impact on student results such as pupils teachers and schools,O O O O O O O O O O O O O O O O O O O O O O O O O
The probability distributions and confidence intervals of extreme water levels calculated using POT MCLC are promising but not the focuses of this study,O O O O O O O O O O O O O O O O O O O O O O O
Using data from the National Education Longitudinal Study of 1988 Reis and Park 2001 found high achieving 12th grade boys had higher math and science self concept than their female counterparts,O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O
The study site sits in a zone that has seen roughly between 1 and 1,O O O O O O O O O O O O O O O
Follow up data from the Baltimore Longitudinal Study of Aging BLSA suggest that men aged 75 80 years who have a PSA level below 3 ng ml are unlikely to be diagnosed with a high risk prostate cancer 53,O O O O O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Spatial analysis of vector data for example business points and census block polygons focused on determining if points or polygons were inside the extreme tsunami inundation zone polygons,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In the current study we continued to examine prospectively whether eating patterns are related to anthropometric changes in women and men participating in the Baltimore Longitudinal Study of Aging BLSA by using a distinctly different patterning method factor analysis,O O O O O O O O O O O O O O O O O O O O O O O O B I I I I I O O O O O O O O O
The purpose of this study is to propose a conceptual framework on the relationship between social network usage especially Facebook with academic performance,O O O O O O O O O O O O O O O O O O O O O O O
27 To assess the accuracy of the inverse model we compare derived wind speeds for the five inundation deposits that occur during historic time to the measured landfall wind speeds of historic storms from the best track data set,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The NOAA C CAP land cover data were available at a 30 m resolution for the State of New York 33 whereas the inland areas as shown in Figure 5 were derived from the high resolution 1 m lidar elevation surface 25,O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
None of the published analyses of the HS B base year data included measures of schoolaverage or other aggregated student characteristics but the hypothesis was addressed in two separate analyses of the HS B first follow up survey,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Our approach is motivated by the idea of design selection for longitudinal studies such as the well known Baltimore Longitudinal Study of Aging BLSA Shock et al,O O O O O O O O O O O O O O O O O O B I I I I I O O O
Baltimore Longitudinal Study of Aging BLSA N 5 147 22 a neuroimaging substudy and the Wisconsin Registry for Alzheimer s Prevention WRAP N 5 171 23,B I I I I I O O O O O O O O O O O O O O O O O O O O
The NED was primarily derived from lidar data,O O O O O O O O
Only the average of the whole ROI track was used in the data,O O O O O O O O O O O O O
We used the National Education Longitudinal Study of 1988 NELS 88 for this study,O O O B I I I O O O O O O O
Once entered the SLOSH model computes the wind fields associated with this storm based from the DP,O O O B I O O O O O O O O O O O O
Group was derived from the National Education Longitudinal Study data National Center for Education Statistics 1994,O O O O O B I I I O O O O O O O
The non normal nature of the limiting distribution of the averaging estimator with data driven weights was also pointed out by Hjort and Claeskens 2003 and Claeskens and Hjort 2008,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Descriptive data are presented as means standard errors and percentages across age categories in Table 1,O O O O O O O O O O O O O O O O
By and large risky behavior that was present at baseline persisted throughout the study period,O O O O O O O O O O O O O O O
All participants provided written informed consent and the BLSA study protocol was approved by the Institutional Review Board at Harbor Hospital,O O O O O O O O O O O O O O O O O O O O O
The study subjects consisted of 504 participants aged 50 years in the Baltimore Longitudinal Study of Aging BLSA who were seen between January 2006 and December 2008 baseline and had at least two or more follow up visits after baseline up to June 2014,O O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O
By contrast results reported at a scientific meeting from the Rotterdam Study suggested stronger protection with SALAs used for 2 years or more as compared with non SALAs,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
While overestimation of storm surge can have detrimental social consequences such as distrust of scientific experts and authorities 47 underestimation of storm surge can be deadly especially for regions in low lying coastal terrain such as those included in this study,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Still a preponderance of data suggests that a short doubling time is associated with a poorer prognosis in patients with castration resistant prostate cancer,O O O O O O O O O O O O O O O O O O O O O O O O
Three waves of in home survey data were collected in 1995 1996 and 2000 2001 the Wave III sample includes 15 163 young adults,O O O O O O O O O O O O O O O O O O O O O O O O
AutoSurge automatically generates a vast array of products from the SLOSH model output to provide internal guidance to the Storm Surge Specialists,O O O O O O O O O O B I O O O O O O O O O O
In this study we treated the analysis as exploratory and did not correct for multiple comparisons when looking at associations across 16 ROIs as DTI metrics across ROIs that are highly intercorrelated,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The National Oceanic and Atmospheric Administration NOAA Center for Operational Oceanographic Products and Services CO OPS manages a permanent observing system the National Water Level Observation Network NWLON,O O O O O O O O O O O O O O O O O O O O O O B I I I I O
The combination of inundation data with tidal data by probabilistic tsunami hazard assessment calculations provided a hazard curve that describes the probability of recurrence at a certain location of a tsunami flood exceeding a specified wave height Mofjeld et al,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
We used these data in the present analyses to examine change in the racial academic achievement gap in science from 8th grade through 12th grade,O O O O O O O O O O O O O O O O O O O O O O O O O
Moreover no study has simultaneously evaluated the effect of antioxidant and B vitamins on the risk of AD,O O O O O O O O O O O O O O O O O O
The study was conducted for 21 coastal counties in Florida at five spatial scales of analysis parcel block block group tract and county,O O O O O O O O O O O O O O O O O O O O O O O
Panel retention in the later years of the study is not associated with numerous indicators of socioeconomic background mental health delinquency family structure extracurricular involvement and educational promise although males non whites and youth who resided in households where no family members were employed during the prior year 1987 have a higher risk of survey attrition than females whites and those youth who resided,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In addition analyses were performed by using approximate tertiles of repeat number for the analysis of testosterone data in the STORM cohort,O O O O O O O O O O O O O O O O O O O O O O
Ultimately findings from this study will be used to inform managers about numeric nutrient criteria nitrogen N and phosphorus P when it is combined with biological response e,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1 Other factors not addressed in this work is the effect of percentage of data used for training and testing,O O O O O O O O O O O O O O O O O O O O
Incorrect results are produced not only by operational and observational errors in computer models but also by ignoring the errors inherent in elevation data sources,O O O O O O O O O O O O O O O O O O O O O O O O O
In the present study we investigated the effect of age on the importance of adrenergic stimulation during maximal upright cycle exercise in carefully screened healthy male volunteers by examining cardiovascular performance in the presence and absence of intravenous propranolol,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The sample was drawn from the BLSA an ongoing multidisciplinary study of communitydwelling volunteers,O O O O O O O O O O O O O O
For example Perna 2000 analyzed the National Education Longitudinal Study of 1988 NELS 88 to assess the determinants of college entry and found that controlling for a host of student background characteristics a 1 increase in unemployment was associated with a 2,O O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The depth averaged 2D CEST model over orthogonal curvilinear grids was used to simulate storm surges in this study,O O O O O O O O O O O O O O O O O O O
We evaluated this question in a cross sectional analysis of data from the Baltimore Longitudinal Study of Aging BLSA a large prospective cohort study managed by the National Institute on Aging N 389,O O O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O
Previous studies have shown that the SLOSH model estimates storm surges within 20 of observed data at most locations 17 19,O O O O O O B I O O O O O O O O O O O O O
Moreover BDNF expression is significantly increased in atherosclerotic coronary arteries compared to nonatherosclerotic coronary arteries from control subjects 19 and one study has demonstrated that there are reduced plasma BDNF levels in patients with acute coronary syndromes 20,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In a post hoc analyses data not shown medial lateral mechanical work expenditure had a significant bivariate association with both weight and body mass index p,O O O O O O O O O O O O O O O O O O O O O O O O O O
Although it has proved difficult to demonstrate improved accuracy in coastal predictions from coupled models this may be due in part to the limitations of data and model resolution,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Causes and consequences of schooling outcomes in South Africa Evidence from survey data Social Dynamics 27 1 1 23,O O O O O O O O O O O O O O O O O O O
4 for females 12 and in the Baltimore Longitudinal Study of Aging BLSA a multidisciplinary research study of communitydwelling volunteers 14 of subjects with normal X rays reported ever pain and 9 current pain 11,O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O O O O O O
The aim of this study was therefore to determine 1 whether CCA IMT is increased in asymptomatic subjects with an exercise induced ischemic ST segment depression and 2 whether among these asymptomatic individuals with ischemic exercise ECG CCA IMT is larger in the subset with an abnormal exercise thallium scan than in those with a negative scan,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In the present study we build upon previous SLOSH verification analyses by developing an objective methodology for configuring running and assessing the SLOSH forecast and hindcast simulations that can be replicated over multiple storms and for different forecast times and areas,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
According to SuperData 40 15 of eSports viewers are 13 17 years old and 46 are 18 26 years old as shown in Figure 1,O O O O O O O O O O O O O O O O O O O O O O O O O
This data is obtained from the U,O O O O O O O
The SLOSH model currently used by the NHC has not been as thoroughly tested over as wide of a range of conditions,O B I O O O O O O O O O O O O O O O O O O O
the National Education Longitudinal Study of 1988 Institute of Education Sciences n,O B I I I O O O O O O O
Normative data suggest that the lower cutoff value for normal VOR gain should be 0,O O O O O O O O O O O O O O O
In the SLOSH model the wind field is modeled as This description was originally developed in the 1960s for storms with R max between 10 and 50 miles 38 and values of V max near 100 mph 39,O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
However again the maximum accuracy in 20 was much lower than the accuracies in the present study and pMCI vs,O O O O O O O O O O O O O O O O O O O O
We use two nationally representative and longitudinal datasets the Early Childhood Longitudinal Study Kindergarten cohort ECLS K for elementary school and the National Education Longitudinal Study of 1988 NELS 88 for high school,O O O O O O O O O O O O O O O O O O O O O O B I I I O O O O O O O
In one study weights of babies born after ovum donation were strongly associated with the weights of the recipient mother an environmental factor but were not associated with the weights of the female donors a genetic factor 5,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
First this study focuses on younger students that is eighth graders who are closer to the age when the gender gaps in achievement grow rapidly,O O O O O O O O O O O O O O O O O O O O O O O O O
As a means to probe at the information available to youth as they leave high school how they perceive and prioritize this information and the extent to which this information facilitates or impedes the enactment of postsecondary plans large scale survey data like ELS 2002 are less than optimal,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
NOAA C CAP is continually developing a nationally standardized database of land cover and habitat change in the coastal regions of the United States NOAA Coastal Change Analysis Program,B I I O O O O O O O O O O O O O O O O O O O O O O O O O O
The dataset has many advantages but it is not nationally representative therefore we check our results against a national datasetthe National Education Longitudinal Study of 1988,O O O O O O O O O O O O O O O O O O O O B I I I O O
Participants were derived from the BLSA a prospective study of community dwelling volunteers initiated by the National Institute on Aging in 1958,O O O O O O O O O O O O O O O O O O O O O O
The SLOSH model is currently the only model used by the National Hurricane Center to provide real time storm surge guidance,O B I O O O O O O O O O O O O O O O O O O
Tractography for PPMI data was then conducted in 2mm isotropic MNI 152 space again using the Dipy LocalTracking module,O O O O O O O O O O O O O O O O O O O
Source National Education Longitudinal Study base year through the third follow up survey,O B I I I O O O O O O O O
18 In the United States factor analysis of dietary data from the Baltimore Longitudinal Study of Aging BLSA identified six food patterns among 449 adults aged 30 80 years,O O O O O O O O O O O O B I I I I I O O O O O O O O O O O
The storm surge data can be found in https www,O O O O O O O O O O
Our group has been conducting a panel study of community dwelling late middle aged African Americans who were 49 65 years of age at cohort initiation in 2000 01 have high levels of disability 11 12 and are known collectively as the African American Health AAH cohort,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Many recent anatomical magnetic resonance image MRI studies on the human brain have been focused on the cerebral cortex thickness analysis because longitudinal variations in cortical thickness are found closely correlated to either Data used in the preparation of this article were obtained from the Alzheimers Disease Neuroimaging Initiative ADNI database www,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O O
reported that serum resistin independently correlated with cfPWV in a crosssectional analysis of data from the Baltimore Longitudinal Study of Aging BLSA 38,O O O O O O O O O O O O O O O O B I I I I I O
METHODS Data from the Baltimore Longitudinal Study of Aging BLSA an ongoing prospective study of communitydwelling adults were used,O O O O B I I I I I O O O O O O O O O
individuals with significant AD neuropathology at death but without evidence for cognitive impairment during life N 15 from the autopsy sample of the Baltimore Longitudinal Study of Aging BLSA,O O O O O O O O O O O O O O O O O O O O O O O B I I I I I
1 Data used in the preparation of this article were obtained from the Alzheimers Disease Neuroimaging Initiative ADNI database adni,O O O O O O O O O O O O O B I I I O O O
We used data from National Education Longitudinal Study of 1988 NELS88 a nationally representative survey of 8th graders in 1988 who were followed to the age of 25 or 26 in 1992,O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O O
The National Education Longitudinal Study NELS of 1988 sponsored by the US Department of Education surveyed a nationally representative sample of eighthgrade students in 1988 with follow up interviews in 1990 and 1992,O B I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Gene identifications in the Magma output file were converted to gene symbols using the biological Database Network https biodbnet abcc,O O O O O O O O O O O O O O O O O O O O
Spatial coverages for all input variables were derived from the GRANIT database NH GRANIT 2016 and all spatial analyses were conducted using the R packages RASTER Hijmans 2015 and RGDAL Bivand et al,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
A key finding of this study is that several Emory protein modules that significantly increased E M9 E M11 and E M19 or decreased E M6 E M10 E M12 E M18 and E M20 in AD did not overlap with transcriptome modules consistent with a weak overall RNA protein correlation cor 0,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Fitting statistical models that emulate those of the original study closely repro duce the original findings,O O O O O O O O O O O O O O O O
Use of the data to address such problems has been a key measure of the project s success and relevance and the NOAA C CAP project has documented many such successes http www,O O O O O O O O O O O O O O O O O O O O O O B I I O O O O O O O O
13 It is important to note that the accelerometer data from that study was collected from the National Health and Nutrition Examination Survey which had an analytic sample that was comparatively younger mean age 62 years and had more women in the cancer survivor sample 58 than in the current BLSA sample mean age 74 years 31 women,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Until more empirical evidence can be accumulated regarding the typical magnitude of the effect size the interpretation of the standardized differences of the GPAs as large or small is relative and confined to the data presented in Table 3 Light Pillemer 1984 Glass McGaw Smith 1981,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In this study compared to PSSHs for the current sea level the PSSHs with SLRs are reduced by 0,O O O O O O O O O O O O O O O O O O O
Because early phases of student application to college behavior determine a student s choice set we utilized the National Education Longitudinal Study NELS 88 to understand aspects of the predisposition phase of the college choice process,O O O O O O O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O
For the Backyard scenario development rates were based on population projections a database of the mean area zoned for future residential lots in each municipality and historical trends in zoning changes in response to development pressure C,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Corpus Christi Bay marked the southernmost boundary of the study area because the Laguna Madre region south of Corpus Christi Bay is dominated by hypersaline waters and nonvegetated tidal flats that is limited emergent marsh occurs south of Corpus Christi Bay Osland and others in press,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Methods The Baltimore Longitudinal Study of Aging BLSA is a prospective study of community dwelling healthy volunteers conducted by the National Institute on Aging since 1958,O O B I I I I I O O O O O O O O O O O O O O O O O O
The tracks intensities and storm size information are then applied to drive the SLOSH model in order to evaluate changes of induced storm surges in the future,O O O O O O O O O O O O O B I O O O O O O O O O O O O
The additional covariate for each subject is the beginning age of the last five year interval included in the study,O O O O O O O O O O O O O O O O O O O O
For other sites Benicia Martinez Fagan Guadalcanal we used data from the nearest NOAA tidal station,O O O O O O O O O O O O O B I I
National Water Level Observation Network NWLON which comprises a collection of tide gauges along the coasts of the United States its territories and a few foreign countries http co ops,B I I I I O O O O O O O O O O O O O O O O O O O O O O O O O
Remotely sensed airborne lidar point cloud data were acquired over Richmond County New York by Woolpert 25,O O O O O O O O O O O O O O O O O
Two key problems were identified weak incentives to take rigorous courses and to study hard caused by poor signalling of student achievements to universities and to employers 3 and second an unfocused curriculum that gave insufficient emphasis to core academic subjects,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Using a prospective population based cohort Baltimore Longitudinal Study of Aging BLSA this study aims to examine the relationships between midlife body mass index BMI and 1 AAO of AD 2 severity of Alzheimer s neuropathology and 3 fibrillar brain amyloid deposition during aging,O O O O O O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Further study is needed to determine the relationship between these regions and proposed resting state brain processes,O O O O O O O O O O O O O O O O O
In the Helsinki Study 21 glucose was measured and reported in whole blood,O O O O O O O O O O O O O
The water levels were measured at the National Oceanic Atmospheric Administration NOAA National Water Level Observation Network NWLON stations which are detailed in Table 2,O O O O O O O O O O O B B I I I I O O O O O O O O
In contrast using cross sectional data on tenth graders participating in the National Education Longitudinal Study of 1988 NELS 88 Ehrenberg Goldhaber and Brewer 1995 found that a teacher s gender was not associated with the achievement gains of girls or boys,O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O O O O
5 months in 504 adults aged 50 years who had two or more study visits in the Baltimore Longitudinal Study of Aging BLSA,O O O O O O O O O O O O O O O O O B I I I I I
This study was based on data from the National Education Longitudinal Study of 1988 NELS,O O O O O O O O B I I I O O O
However in the 152 storm set developed for the IPET study the along coast track distribution for the central angle of storm incidence was represented by the five tracks shown in Fig,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Currently the operational version of the SLOSH model does not include wave setup wave runup or freshwater flooding,O O O O O O B I O O O O O O O O O O
The data for this example come from the National Education Longitudinal Study of 1988 NELS 88,O O O O O O O O B I I I O O O O
We used the trap results data on environmental conditions at each trap sites and the BN models to evaluate habitat conditions of RERA,O O O O O O O O O O O O O O O O O O O O O O O
Participants were from the Baltimore Longitudinal Study of Aging BLSA and submitted multiple 24 hour urine samples over an average interval of 10,O O O O B I I I I I O O O O O O O O O O O O O
We showed in the Baltimore Longitudinal Study of Aging BLSA that reports of shorter sleep duration and poorer sleep quality were associated with greater amyloid A deposition measured by positron emission tomography PET scans an average of less than 2 years later 2,O O O O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Clinical data were assessed at the baseline study,O O O O O O O O
Since the SLOSH model has not conducted a similar study for official applications of SLOSH in this area Fig,O O B I O O O O O O O O O O O O O O O
Finally the MPRAGE image was co registered with the fMRI data and normalized to the Montreal Neurologic Institute MNI 152 brain template with 2 mm isotropic voxel size 1 12,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Each method was validated with an extensive data set available for tidal flats located along the Packery Channel Texas,O O O O O O O O O O O O O O O O O O O
